lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,muh.1,muh.2,rho,kappa.1,kappa.2,kappa.3,kappa.4,kappa.5,kappa.6,kappa.7,kappa.8,kappa.9,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,L.1.1,L.2.1,L.3.1,L.4.1,L.5.1,L.6.1,L.7.1,L.8.1,L.9.1,L.1.2,L.2.2,L.3.2,L.4.2,L.5.2,L.6.2,L.7.2,L.8.2,L.9.2,L.1.3,L.2.3,L.3.3,L.4.3,L.5.3,L.6.3,L.7.3,L.8.3,L.9.3,L.1.4,L.2.4,L.3.4,L.4.4,L.5.4,L.6.4,L.7.4,L.8.4,L.9.4,L.1.5,L.2.5,L.3.5,L.4.5,L.5.5,L.6.5,L.7.5,L.8.5,L.9.5,L.1.6,L.2.6,L.3.6,L.4.6,L.5.6,L.6.6,L.7.6,L.8.6,L.9.6,L.1.7,L.2.7,L.3.7,L.4.7,L.5.7,L.6.7,L.7.7,L.8.7,L.9.7,L.1.8,L.2.8,L.3.8,L.4.8,L.5.8,L.6.8,L.7.8,L.8.8,L.9.8,L.1.9,L.2.9,L.3.9,L.4.9,L.5.9,L.6.9,L.7.9,L.8.9,L.9.9,muraw.1.1,muraw.2.1,muraw.1.2,muraw.2.2,muraw.1.3,muraw.2.3,muraw.1.4,muraw.2.4,betaraw.1.1,betaraw.2.1,betaraw.1.2,betaraw.2.2,betaraw.1.3,betaraw.2.3,betaraw.1.4,betaraw.2.4,betaraw.1.5,betaraw.2.5,betaraw.1.6,betaraw.2.6,betaraw.1.7,betaraw.2.7,betaraw.1.8,betaraw.2.8,betaraw.1.9,betaraw.2.9,sigma_beta,sigma_h,sigma.1,sigma.2,sigma.3,sigma.4,sigma.5,sigma.6,sigma.7,sigma.8,sigma.9
# Adaptation terminated
# Step size = 1.76835e-07
# Diagonal elements of inverse mass matrix:
# 1.23457e-05, 1.23457e-05, 1.23726e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23466e-05, 1.23457e-05, 1.23471e-05, 1.23457e-05, 1.23458e-05, 1.2346e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23465e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.2347e-05, 1.23458e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23458e-05, 1.23457e-05, 1.23481e-05, 1.2348e-05, 1.23467e-05, 1.23457e-05, 1.23461e-05, 1.23468e-05, 1.23457e-05, 1.23458e-05, 1.23457e-05, 1.23467e-05, 1.23465e-05, 1.2347e-05, 1.23463e-05, 1.23472e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23458e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.2346e-05, 1.23457e-05, 1.23469e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23457e-05, 1.23471e-05, 1.23457e-05
-1.53412e+10,0.991485,1.76835e-07,3,7,0,1.53412e+10,0.528945,1.97619,-0.0170045,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53412e+10,0.995314,1.76835e-07,2,3,0,1.53412e+10,0.528945,1.97619,-0.0170044,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53412e+10,0.999008,1.76835e-07,2,3,0,1.53412e+10,0.528945,1.97619,-0.0170044,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53412e+10,1,1.76835e-07,2,3,0,1.53412e+10,0.528945,1.97619,-0.0170044,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53412e+10,0.990884,1.76835e-07,5,31,0,1.53412e+10,0.528945,1.97619,-0.0170044,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53412e+10,0.993336,1.76835e-07,2,3,0,1.53412e+10,0.528945,1.97619,-0.0170044,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53412e+10,0.994586,1.76835e-07,3,7,0,1.53412e+10,0.528945,1.97619,-0.0170044,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53411e+10,0.999757,1.76835e-07,2,3,0,1.53412e+10,0.528945,1.97619,-0.0170044,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53411e+10,0.996208,1.76835e-07,2,3,0,1.53411e+10,0.528945,1.97619,-0.0170043,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53411e+10,0.993629,1.76835e-07,3,7,0,1.53411e+10,0.528945,1.97619,-0.0170043,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53411e+10,0.990986,1.76835e-07,2,3,0,1.53411e+10,0.528945,1.97619,-0.0170043,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.9138,-0.775744,0.878131,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782621,-0.607045,0.174711,0.384625,0.00792103,-0.706462,0.0852649,0.748602,0,0.622498,0.565054,0.194918,0.656406,-0.80865,-0.121449,-0.939417,0.316084,0,0,0.558757,-0.916696,-0.182967,0.00487072,-0.657969,0.292741,0.556415,0,0,0,0.301912,0.440329,0.277013,0.0661479,0.115187,0.156492,0,0,0,0,0.440259,0.461576,-0.164662,-0.0260934,-0.047023,0,0,0,0,0,0.237086,0.0171266,0.0803323,-0.0531227,0,0,0,0,0,0,0.146477,0.0430943,0.0179499,0,0,0,0,0,0,0,0.0476339,0.014243,0,0,0,0,0,0,0,0,0.0063491,1.66029,1.29971,1.2308,0.147416,-1.72173,1.7658,0.279774,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.0052199,0.245415,0.0247396,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350314,-1.53466,-0.985805,-1.58197,0.428399,4.58878,1.84931,0.333369,6.327,0.181258,0.143896,0.31145,2.39812,0.200037,1.4916
-1.53382e+10,0.991405,1.76835e-07,7,127,0,1.53411e+10,0.528944,1.97619,-0.016991,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.91381,-0.775744,0.87813,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782619,-0.607045,0.174711,0.384625,0.00792088,-0.706462,0.0852647,0.748602,0,0.622501,0.565052,0.194916,0.656406,-0.80865,-0.121449,-0.939416,0.316085,0,0,0.558759,-0.916696,-0.182967,0.00487064,-0.657969,0.292743,0.556415,0,0,0,0.301913,0.44033,0.27701,0.0661479,0.115188,0.156492,0,0,0,0,0.440258,0.461578,-0.164661,-0.0260939,-0.047023,0,0,0,0,0,0.237086,0.0171264,0.0803336,-0.0531231,0,0,0,0,0,0,0.146478,0.043095,0.0179501,0,0,0,0,0,0,0,0.0476351,0.0142432,0,0,0,0,0,0,0,0,0.00634924,1.66029,1.29971,1.23081,0.147417,-1.72173,1.7658,0.279773,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.00521997,0.245415,0.0247395,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350313,-1.53466,-0.985805,-1.58197,0.428399,4.58876,1.84931,0.333371,6.327,0.181258,0.143896,0.31145,2.39812,0.200038,1.4916
-1.53382e+10,0.993991,1.76835e-07,2,3,0,1.53382e+10,0.528944,1.97619,-0.016991,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.91381,-0.775744,0.87813,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782619,-0.607045,0.174711,0.384625,0.00792088,-0.706462,0.0852647,0.748602,0,0.622501,0.565052,0.194916,0.656406,-0.80865,-0.121449,-0.939416,0.316085,0,0,0.558759,-0.916696,-0.182967,0.00487064,-0.657969,0.292743,0.556415,0,0,0,0.301913,0.44033,0.27701,0.0661479,0.115188,0.156492,0,0,0,0,0.440258,0.461578,-0.164661,-0.0260939,-0.047023,0,0,0,0,0,0.237086,0.0171264,0.0803336,-0.0531231,0,0,0,0,0,0,0.146478,0.043095,0.0179501,0,0,0,0,0,0,0,0.0476351,0.0142432,0,0,0,0,0,0,0,0,0.00634924,1.66029,1.29971,1.23081,0.147417,-1.72173,1.7658,0.279773,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.00521997,0.245415,0.0247395,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350313,-1.53466,-0.985805,-1.58197,0.428399,4.58876,1.84931,0.333371,6.327,0.181258,0.143896,0.31145,2.39812,0.200038,1.4916
-1.53382e+10,0.99225,1.76835e-07,3,7,0,1.53382e+10,0.528944,1.97619,-0.0169909,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.91381,-0.775744,0.87813,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782619,-0.607045,0.174711,0.384625,0.00792087,-0.706462,0.0852647,0.748602,0,0.622501,0.565052,0.194916,0.656406,-0.80865,-0.121449,-0.939416,0.316085,0,0,0.558759,-0.916696,-0.182967,0.00487064,-0.657969,0.292743,0.556415,0,0,0,0.301913,0.44033,0.27701,0.0661479,0.115188,0.156492,0,0,0,0,0.440258,0.461578,-0.164661,-0.0260939,-0.047023,0,0,0,0,0,0.237086,0.0171264,0.0803337,-0.0531231,0,0,0,0,0,0,0.146478,0.043095,0.0179501,0,0,0,0,0,0,0,0.0476351,0.0142432,0,0,0,0,0,0,0,0,0.00634924,1.66029,1.29971,1.23081,0.147417,-1.72173,1.7658,0.279773,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.00521997,0.245415,0.0247395,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350313,-1.53466,-0.985805,-1.58197,0.428399,4.58876,1.84931,0.333371,6.327,0.181258,0.143896,0.31145,2.39812,0.200038,1.4916
-1.53382e+10,0.994908,1.76835e-07,3,7,0,1.53382e+10,0.528944,1.97619,-0.0169909,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.91381,-0.775744,0.87813,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782619,-0.607045,0.174711,0.384625,0.00792087,-0.706462,0.0852647,0.748602,0,0.622501,0.565052,0.194916,0.656406,-0.80865,-0.121449,-0.939416,0.316085,0,0,0.558759,-0.916696,-0.182967,0.00487064,-0.657969,0.292743,0.556415,0,0,0,0.301913,0.44033,0.27701,0.0661479,0.115188,0.156492,0,0,0,0,0.440258,0.461578,-0.164661,-0.0260939,-0.047023,0,0,0,0,0,0.237086,0.0171264,0.0803337,-0.0531231,0,0,0,0,0,0,0.146478,0.043095,0.0179501,0,0,0,0,0,0,0,0.0476351,0.0142432,0,0,0,0,0,0,0,0,0.00634924,1.66029,1.29971,1.23081,0.147417,-1.72173,1.7658,0.279773,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.00521997,0.245415,0.0247395,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350313,-1.53466,-0.985805,-1.58197,0.428399,4.58876,1.84931,0.333371,6.327,0.181258,0.143896,0.31145,2.39812,0.200038,1.4916
-1.53381e+10,1,1.76835e-07,2,3,0,1.53382e+10,0.528944,1.97619,-0.0169909,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.91381,-0.775744,0.87813,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782619,-0.607045,0.174711,0.384625,0.00792087,-0.706462,0.0852647,0.748602,0,0.622501,0.565052,0.194916,0.656406,-0.80865,-0.121449,-0.939416,0.316085,0,0,0.558759,-0.916696,-0.182967,0.00487064,-0.657969,0.292743,0.556415,0,0,0,0.301913,0.44033,0.27701,0.0661479,0.115188,0.156492,0,0,0,0,0.440258,0.461578,-0.164661,-0.0260939,-0.047023,0,0,0,0,0,0.237086,0.0171264,0.0803337,-0.0531231,0,0,0,0,0,0,0.146478,0.043095,0.0179501,0,0,0,0,0,0,0,0.0476351,0.0142432,0,0,0,0,0,0,0,0,0.00634924,1.66029,1.29971,1.23081,0.147417,-1.72173,1.7658,0.279773,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.00521997,0.245415,0.0247395,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350313,-1.53466,-0.985805,-1.58197,0.428399,4.58876,1.84931,0.333371,6.327,0.181258,0.143896,0.31145,2.39812,0.200038,1.4916
-1.53381e+10,0.996793,1.76835e-07,2,3,0,1.53381e+10,0.528944,1.97619,-0.0169909,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.91381,-0.775744,0.87813,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782619,-0.607045,0.174711,0.384625,0.00792087,-0.706462,0.0852647,0.748602,0,0.622501,0.565052,0.194916,0.656406,-0.80865,-0.121449,-0.939416,0.316085,0,0,0.558759,-0.916696,-0.182967,0.00487064,-0.657969,0.292743,0.556415,0,0,0,0.301913,0.44033,0.27701,0.0661479,0.115188,0.156492,0,0,0,0,0.440258,0.461578,-0.164661,-0.0260939,-0.047023,0,0,0,0,0,0.237086,0.0171264,0.0803337,-0.0531231,0,0,0,0,0,0,0.146478,0.043095,0.0179501,0,0,0,0,0,0,0,0.0476351,0.0142432,0,0,0,0,0,0,0,0,0.00634924,1.66029,1.29971,1.23081,0.147417,-1.72173,1.7658,0.279773,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.00521997,0.245415,0.0247395,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350313,-1.53466,-0.985805,-1.58197,0.428399,4.58876,1.84931,0.333371,6.327,0.181258,0.143896,0.31145,2.39812,0.200038,1.4916
-1.53381e+10,1,1.76835e-07,2,3,0,1.53381e+10,0.528944,1.97619,-0.0169908,1.46524,0.152849,0.265148,0.643984,1.00292,1.17894,0.471966,3.49631,0.237573,-1.4368,-1.10088,1.91381,-0.775744,0.87813,-0.727068,-1.09441,0.960089,-1.42095,1,-0.782619,-0.607045,0.174711,0.384625,0.00792087,-0.706462,0.0852647,0.748602,0,0.622501,0.565052,0.194916,0.656406,-0.80865,-0.121449,-0.939416,0.316085,0,0,0.558759,-0.916696,-0.182967,0.00487064,-0.657969,0.292743,0.556415,0,0,0,0.301913,0.44033,0.27701,0.0661479,0.115188,0.156492,0,0,0,0,0.440258,0.461578,-0.164661,-0.0260939,-0.047023,0,0,0,0,0,0.237086,0.0171264,0.0803337,-0.0531231,0,0,0,0,0,0,0.146478,0.043095,0.0179501,0,0,0,0,0,0,0,0.0476351,0.0142432,0,0,0,0,0,0,0,0,0.00634924,1.66029,1.29971,1.23081,0.147417,-1.72173,1.7658,0.279773,-1.44921,-1.46255,1.76811,-0.41351,0.565185,-0.861842,0.68579,0.00521997,0.245415,0.0247395,1.36776,-1.66932,-1.86009,-0.176795,1.23333,0.350313,-1.53466,-0.985805,-1.58197,0.428399,4.58876,1.84931,0.333371,6.327,0.181258,0.143896,0.31145,2.39812,0.200038,1.4916
